stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,5.35,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,27.81,0,0,0,0,0,0,0
21Day,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,1.34,1.34,0
3Month,0,0.96,0,0.32,0.32,0,1.28,0.32,0.64,0.32,0.32,0.96,0.32,0,0,0.64,0.32,0.32,0,0,0.64,0,0.64
22Month,0.55,1.09,0,0.55,1.09,38.81,21.87,0,2.73,0,1.64,0.55,0,0.55,1.09,0,0,1.09,0.55,0.55,4.92,0.55,1.64
