stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0,2.68,0,0,0,0,17.4,1.34,0,1.34,0,2.68,1.34,0,0,0
3Month,0,0.32,0,4.8,0.32,0.96,9.6,0.32,0.32,0.32,0.32,0,0.96,0.32,0.96,1.28
22Month,0.55,0,0.55,2.73,3.28,0,20.23,0,0,0.55,0,0,0,0,0.55,0
