stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,81.73,4.09,0,0,0,0,4.09,20.43,0,0,12.26,0,0,0,0,0,0,0
72hpf,17.12,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,2.14,6.42,27.81,2.14,0,0,0,0,47.07,4.28,0,0,2.14,1.07,1.07,1.07,1.07,0,0,0
21Day,4.02,0,9.37,1.34,4.02,5.35,0,0,0,1.34,0,20.08,2.68,1.34,8.03,42.83,8.03,0,0,5.35,0,9.37,0,0,0,6.69,4.02,0,1.34,1.34,1.34,0,4.02
3Month,1.28,0.64,4.16,0,0,0,0.64,5.12,0,13.44,112.94,0.32,6.08,4.16,0.64,18.56,1.6,0.64,0,0.32,0.32,0,0,0.32,0,0,0.32,3.84,0.64,0,0,1.92,3.52
22Month,1.64,2.19,2.19,0,0,0.55,0.55,3.83,5.47,20.77,24.6,0,1.09,1.09,0,16.95,0.55,0,1.09,0.55,0,0,0.55,0,1.09,0,0,1.64,0.55,0,0,0,2.73
