stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,4.28,0,0,0,0,12.84,1.07,0,1.07,0,0
21Day,1.34,0,1.34,1.34,1.34,6.69,0,0,0,14.72,1.34
3Month,0,0.32,0,0,0,0,0,0.32,0,0,0
