stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,0,0,3.21,0,0,0,0,1.07,0,0,0,0
22Month,0.55,3.28,6.01,4.37,2.73,24.6,3.28,1.64,1.09,1.64,0.55,1.64,0,1.09,330.18,1.09,0.55
