stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,9.63,0,118.75,0,0,0,0,0,0,0,0,0,0,0,1.07,57.77,3.21,50.28,0,1.07,1.07,0,9.63,6.42,0,0,41.72,0,0,0,0,0,0,0,0
21Day,2.68,2.68,0,25.43,1.34,0,0,0,0,0,0,0,0,0,0,1.34,20.08,0,49.53,0,0,16.06,0,4.02,6.69,0,0,16.06,0,0,0,1.34,0,2.68,0,0
3Month,0.32,22.4,0.32,19.84,0,0,0,0.96,0,6.4,0,7.68,1.6,0.32,2.88,0.32,20.48,2.56,89.27,20.8,0,3.52,0,0,0,0.32,0,1.92,1.28,1.92,0,0,1.28,41.59,0.96,2.24
22Month,0.55,25.15,0.55,7.65,0,1.64,0.55,2.73,0.55,0.55,27.33,27.33,0.55,0,1.09,0,4.92,0.55,59.59,2.19,0.55,3.28,0.55,0,0,1.09,0.55,0.55,0.55,0,0.55,0,0.55,8.75,0,0
