stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,24.52,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,4.09,118.51,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,5.35,1.07,0,0,0,0,0,0,1.07,0,0,33.16,0,1.07,1.07,57.77,31.02,0,40.65,0,12.84,1.07,1.07,1.07,0
21Day,4.02,4.02,4.02,0,0,0,0,0,4.02,0,0,0,0,32.12,0,0,6.69,29.45,9.37,1.34,20.08,0,1.34,8.03,4.02,1.34,2.68
3Month,0,0.96,0.96,0,0.32,0,0.64,0,0,0,0,1.6,0,0.64,0,0,0.32,0,0,0,0,0.64,0,0,0,0,0
22Month,0,2.73,0.55,0,2.19,0.55,5.47,0.55,0,1.64,0,0.55,0.55,3.28,0.55,0,0,0,0,0.55,0.55,0,0.55,0.55,0,0,1.09
