stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,7.49,1.07,10.7,0,0,0,0,32.09,21.4,0,1.07,5.35,0,0,0,1.07,2.14,0,0,0
21Day,2.68,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,1.34,0,8.03,1.34,0,0,1.34,0,0,1.34,0,1.34,0,0,0
3Month,0.32,2.88,20.8,0.96,0,0.32,0,0,0.96,1.92,0,11.52,2.56,0.32,0.32,1.6,17.28,2.24,11.2,2.88,0,0.64,1.28,0.32,0.64,3.84,0.96,0,1.6,31.99,0.64,0,0,4.16,120.94,1.6
22Month,0,0.55,7.11,0.55,0,0,0,0.55,0,0.55,2.19,14.76,0.55,1.09,2.19,0.55,1.09,2.19,4.92,0.55,0.55,0.55,0,1.64,0.55,1.09,0.55,0,0,16.4,1.09,0.55,0,0,0.55,1.09
