stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0
21Day,0,0,4.02,1.34,0,0,0,0,0,0,0,0,0,4.02,0,4.02,0,1.34,0,0,1.34,2.68,1.34,0,0,0,0,0
3Month,0,0,3.2,0,0,0,0.32,0.32,3.2,1.28,0.32,1.6,0.64,0.32,0.96,0.96,0,0.32,0,0,0,0,0.32,14.08,0,0,1.92,0.32
22Month,0,0.55,1.09,0,0.55,0.55,0,1.09,18.04,0.55,0,1.09,0,0.55,0.55,2.19,0.55,0,0.55,0.55,0,0,0,5.47,0.55,0,0,0
