stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,8.56,4.28,1.07,0,1.07,0,0,0,0
21Day,2.68,0,1.34,0,0,0,0,0,1.34,0,0,1.34,0,9.37,2.68,0,0,1.34,1.34,0,0,0
3Month,0.32,0,0,0.32,0,10.24,0,0.32,0.64,0.96,0,0,0,0,0,0.32,0,0,0,0.32,0.64,0.32
22Month,0.55,0,0,0,0.55,7.11,0.55,0,0,2.19,0.55,0,0.55,0,0,0,14.76,0,0,0,0,0.55
