stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,32.69,8.17,0,0,0,0,0,0,0,0,0,28.6,4.09,4.09,49.04,0,0,0,28.6,102.16,0,0,24.52,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,28.88,8.56,10.7,0,0,1.07,0,0,0,0,0,8.56,37.44,0,26.74,0,0,1.07,64.19,39.58,0,3.21,915.74,0,0,5.35,0,5.35,0,0,0
21Day,6.69,0,12.05,4.02,4.02,0,1.34,0,0,4.02,0,0,0,0,5.35,2.68,81.65,0,0,10.71,22.76,6.69,0,1.34,493.92,5.35,1.34,0,4.02,2.68,0,0,1.34
3Month,0,1.92,8.64,0,0,0.32,0,7.68,0,16.32,0.32,0.32,1.6,1.6,4.8,0.64,2.24,0.64,0.32,1.28,0.64,0.64,0.32,0,65.27,0.32,9.6,0,0,0,0.32,3.52,0.32
22Month,0,2.19,4.37,0,0,0,0,9.84,2.73,66.69,0.55,0,1.09,0,0,1.64,5.47,0,5.47,3.28,0,0,0.55,1.64,66.15,0.55,8.75,0.55,0,0,0,0,0
