stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,8.17,24.52,4.09,0,0,0,0,73.56,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,3.21,0,0,3.21,1.07,2.14,0,0,1.07,0,0,2.14,0,1.07,3.21,2.14,12.84,0,0,0,27.81,23.54,0,4.28,7.49,1.07,0,0,5.35,1.07,0,0,0
21Day,2.68,5.35,1.34,14.72,0,1.34,0,1.34,0,0,1.34,0,6.69,2.68,2.68,2.68,2.68,21.42,0,0,1.34,29.45,8.03,0,2.68,4.02,6.69,0,2.68,1.34,0,0,0,2.68
3Month,0.32,1.28,0.64,10.88,0,0,0,0.96,1.92,0.32,6.08,0.64,0,1.6,0.32,1.6,2.56,3.2,1.92,0,0.32,0,0.32,0.96,0.96,0.32,0.32,0.32,68.79,0,0,3.2,34.87,4.8
22Month,0,4.92,0,7.11,0.55,0,0,0,7.11,3.83,28.97,2.73,0.55,3.83,0,0.55,6.01,9.29,0,0.55,0.55,0.55,0,1.09,1.09,0.55,0,0,13.12,2.73,0,0,0.55,4.92
