stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,0,24.52,0,0,0,4.09,0,0,0,0,20.43,12.26,65.38,0,0,32.69,608.87,0,0,16.35,0,0,0,0,0,0
72hpf,4.28,0,3.21,2.14,3.21,0,0,0,2.14,0,3.21,7.49,0,19.26,1.07,1.07,53.49,83.44,1.07,3.21,14.98,1.07,0,5.35,0,0,0
21Day,9.37,1.34,18.74,0,4.02,4.02,0,0,8.03,0,0,8.03,4.02,34.8,0,6.69,16.06,58.9,0,0,6.69,2.68,0,6.69,4.02,4.02,0
3Month,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.64
22Month,0,1.09,1.09,0,0,0,0,2.19,2.19,1.09,0,0,0.55,0.55,0,0,0,0,0,0,0.55,0,2.73,0,0,0,0
