stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,0,1.34,0,0,38.82,0,1.34,1.34,0,0,1.34,0,0,0,0,0
3Month,1.28,0.64,6.72,2.88,1.92,0.32,13.44,2.24,0.32,3.52,0.32,2.56,3.84,4.8,0,611.74,0.64,0.64,0.64,1.6,11.52,0.32,2.88,1.92,0.64,0.64,2.88
22Month,2.73,0,2.73,0,2.73,0,10.93,0.55,1.09,0.55,0,0.55,2.19,4.92,0.55,427.48,0,0.55,0,0.55,0.55,0,0,1.09,0.55,0,0.55
