stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,23.54,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,32.12,0,0,0,0,0,0,0
3Month,0.32,2.56,0.32,0,0.32,0,0,3.52,0.32,1.28,0.64,1.92,0.96,0,0.32,4.48,0,0,0,0.64,57.59,10.24,0.32
22Month,0.55,1.64,0.55,0.55,1.09,1.09,0.55,24.05,1.64,4.92,0.55,1.09,3.28,0.55,0.55,6.56,0,1.09,1.64,0.55,16.95,0,1.09
