stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,12.26,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,3.21,0,0,0,32.09,9.63,1.07,0,0,0,0,0,0,0,0
21Day,0,2.68,0,1.34,0,0,0,0,0,1.34,0,0,0,4.02,6.69,0,0,0,0,2.68,0,0,0,0
3Month,0.32,1.92,0.32,0,0.32,1.28,3.84,3.84,0.96,0.64,0.96,0.64,0,0,0,0.96,0.64,0.96,27.52,0,0,0.32,31.36,0
22Month,0,1.64,0,0,0,0,7.11,0.55,0,0,1.09,0,0.55,0,0,0,0,0,3.83,0,0.55,0,0,0.55
