stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,20.43,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,1.07,49.21,4.28,3.21,0,1.07,0,0,2.14,4.28,1.07,0,0,0,0,1.07,0,0,0,0,0,0
21Day,2.68,0,1.34,89.68,0,5.35,0,8.03,0,0,10.71,1.34,2.68,2.68,25.43,6.69,9.37,60.23,24.09,9.37,0,0,6.69,0,1.34,2.68,1.34,2.68,0,5.35,2.68,2.68,0,1.34,1.34,0,0,29.45
3Month,0.32,1.92,5.12,158.69,0.32,0,3.2,2.24,0.32,20.48,33.59,0,34.55,48.63,5.44,223.32,7.04,19.84,44.79,6.72,2.24,0.32,14.72,2.56,0.96,0,1.28,0,0,0.64,3.2,27.2,0.32,0,0,3.52,4.16,51.19
22Month,0,18.04,13.67,69.97,0.55,0,3.83,3.83,0,15.85,192.97,53.57,150.33,92.93,26.24,318.7,4.37,12.03,78.72,37.72,0,13.67,9.84,0,1.64,1.09,3.83,0,1.09,0.55,0.55,16.4,1.09,0,0,1.09,0,36.08
