stage,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,8.17,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,2.68,1.34,0,0,0,0,0,0
3Month,0.32,0,0,0.64,2.88,0.64,0.64,0.32,0.32,1.28,0,0,0.32,0,0.32,0.32,0,1.28
22Month,0.55,0.55,0.55,1.09,4.92,0.55,2.73,0.55,1.09,1.64,0.55,0,0,0.55,0,0,0.55,1.09
