stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neurosecretory_cell,Radial_glia
3Month,0,0.32,0,0.32,0.32,0,0.32
22Month,0.55,0,1.09,2.19,0,0.55,0
