stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,40.86,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,2.14,0,0,0,0,0,3.21,0,0,0,17.12,8.56,0,1.07,8.56,0,1.07,0
21Day,4.02,0,1.34,0,5.35,1.34,0,0,0,1.34,1.34,1.34,6.69,0,2.68,1.34,1.34,0,1.34,0,0,0
3Month,0,0.32,0.64,0.32,0,0,0.32,0,0.32,0,0.96,0,0.64,0.32,0,0,0,0,0,0.64,0,1.6
22Month,0,0,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
