stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,4.09,0,4.09,0,0,4.09,57.21,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,4.28,0,3.21,0,0,90.93,7.49,0,1.07,0,4.28,0,1.07,1.07,63.12,0,0
21Day,2.68,0,9.37,5.35,2.68,0,0,0,2.68,0,2.68,0,0,4.02,2.68,5.35,0,1.34,72.28,6.69,1.34,0,0,1.34,4.02,0,0,93.7,0,0
3Month,0,0.96,2.88,0,0,0.32,0.32,0,7.04,1.28,0.32,3.2,0.64,1.92,0.64,4.8,1.6,0.32,1.28,0,23.68,0.32,0,0.32,0.96,64.63,0.32,2.56,34.55,1.6
22Month,0,0,0.55,0,0,0,1.64,2.19,7.65,0.55,0.55,1.09,0.55,0,0.55,0.55,0,0,2.73,0,14.76,0,1.64,0,0.55,33.89,0.55,0,0,0
