stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,20.43,0,0,0,0,0,4.09,0,0,0,0,4.09,8.17,40.86,0,8.17,637.48,0,4.09,0,0,0,0,0,0
72hpf,2.14,1.07,0,1.07,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,181.86,21.4,0,1.07,0,0,3.21,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,41.49,5.35,0,0,1.34,0,0,0,0,0
3Month,0,0.32,2.24,0,0.32,0.32,0.64,0,0.64,1.28,1.92,0,0.64,0.96,0,0.32,0.64,0,0,0,0.32,5.76,0,0,2.56,22.08
22Month,0.55,0,0,0,0,0,0,0,5.47,0,1.09,0,0,0.55,0,0,1.64,0,3.28,0,0.55,6.01,0,4.37,0.55,4.37
