stage,Epithelial_cell,Erythrocyte,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell
24hpf,0,0,0,4.09,0,0
21Day,0,1.34,0,0,2.68,0
3Month,0.64,0,0.96,0,0,0.32
