stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0,0,1.34
3Month,0,0.32,1.6,0.32,0.32,0,1.6,0,0.32,1.28,0.32,12.8,0,0.64,0.32,0.96,0.32,0.32,0.32
22Month,0.55,2.19,3.28,0,0,3.28,6.01,0.55,1.64,0.55,0,24.05,0.55,0,0,0,0.55,0,0
