stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,16.35,20.43,0,118.51,0,0,0,0,0,0,0,0,0,20.43,110.33,0,151.2,0,0,0,24.52,375.95,0,0,0,8.17,0,0,0,0,8.17,0,0
72hpf,21.4,21.4,0,35.3,17.12,5.35,0,0,1.07,0,0,0,0,9.63,79.16,0,71.68,0,0,0,389.4,162.61,0,1.07,0,41.72,0,0,16.05,0,36.37,0,0
21Day,5.35,10.71,1.34,52.2,10.71,10.71,0,1.34,2.68,0,0,0,1.34,0,16.06,0,92.36,0,1.34,0,159.29,99.05,1.34,0,0,37.48,18.74,0,10.71,4.02,0,0,0
3Month,0,10.24,0.64,20.48,0,0,0.32,27.52,0.32,0.32,3.84,1.28,1.28,2.88,30.72,0.96,16.64,0.96,0.96,1.6,3.52,1.6,1.28,0.32,0,0,0.64,6.08,1.28,0,1.6,0.32,0.96
22Month,0,7.11,0,14.21,0,0,0,6.01,0,60.68,11.48,0.55,2.73,0.55,3.28,0.55,7.65,0.55,0.55,0,2.19,0,1.09,0,1.09,0,0,10.39,2.19,0,0.55,0,0.55
