stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,8.17,0,0,0,0,0,0,0,0,0,0,20.43,0,0,8.17,0,0,0,0,36.78,57.21,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,3.21,1.07,1.07,0,0,0,0,0,0,0,0,0,0,5.35,1.07,9.63,0,0,0,0,163.68,12.84,0,0,0,4.28,0,0,4.28,0,0,0,0,0
21Day,12.05,1.34,0,4.02,0,0,1.34,0,0,0,0,0,0,1.34,0,0,4.02,5.35,6.69,0,0,0,0,81.65,2.68,0,4.02,0,9.37,1.34,0,1.34,4.02,2.68,0,0,0
3Month,0,0.96,0.96,15.04,3.84,0,0,0.32,2.24,2.88,0,9.92,2.88,0.32,14.72,2.56,5.76,15.04,11.84,7.68,0,1.28,2.56,6.4,0.32,1.6,0.64,0,0.32,0,39.35,0.64,0,0,1.28,7.36,11.52
22Month,0.55,0,0.55,3.83,1.09,0,0,0,0.55,3.28,1.09,32.25,2.19,2.19,10.39,0,0.55,4.37,7.65,0,0.55,1.64,0,8.2,0,0,0.55,0.55,0,0,28.43,1.09,1.64,0,0,0,2.73
