stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Osteoblast
72hpf,1.07,0,0,0,0,0
21Day,0,0,0,1.34,6.69,1.34
3Month,0.32,0.64,0,0,0,0
22Month,0,2.73,0.55,0,0,0
