stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0
72hpf,0,0,20.33,0,0,0,0,0,2.14,124.1,0,7.49,1.07,0,0,2.14,0
21Day,0,0,40.16,1.34,1.34,0,0,0,4.02,87,0,0,0,0,0,0,1.34
3Month,0.32,0.32,11.2,0,0,0.32,1.28,0.32,1.6,0.64,0,0,0,0.32,0.32,0,0
22Month,0,0,0.55,0,0,0,0.55,0,0.55,0,0.55,0,0,0,0,0,0
