stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,12.26,16.35,0,0,0
72hpf,1.07,0,0,0,1.07,2.14,1.07,0,9.63,4.28,3.21,0,1.07
21Day,0,4.02,0,0,0,0,4.02,0,2.68,0,1.34,0,0
3Month,0,0,2.24,0.64,0,0,0,0,0,0,0,1.6,0
22Month,0,0,0,0,0,0,0,0.55,0,0,0,0,0
