stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,5.35,2.14,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,3.21,0,1.07,0,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,2.68,0,5.35,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,3.52,0,0.32,0.64,1.28,6.4,1.92,0.32,2.56,0.32,0.96,1.28,5.76,3.52,0,0.32,0.32,0,0,0,0.32,0.32,10.24,0.32,35.51,1.6
22Month,0,1.64,0,0,0.55,2.73,31.71,0.55,0.55,2.73,0,1.09,1.09,1.64,0,0.55,0.55,0,0.55,0,0.55,0,0,3.28,0.55,0,1.09
