stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,28.6,0,0
72hpf,0,0,1.07,0,0,0,1.07,1.07,0,2.14,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0.64,0,0.32,0,0.64,0,0,0,1.92,1.92
