stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,7.49,1.07,0,2.14,18.19,0,0,0,0,0,0,0,0,8.56,0,29.95,0,0,0,0,509.22,14.98,0,0,10.7,0,0,2.14,0,1.07,0,0
21Day,0,1.34,0,6.69,2.68,0,1.34,0,0,1.34,5.35,0,1.34,2.68,2.68,16.06,0,0,5.35,0,330.62,2.68,0,2.68,2.68,12.05,0,9.37,8.03,2.68,0,0
3Month,0,0,0.64,3.52,0,0.96,0.64,0,8.64,0.64,0,1.92,0,1.6,0.64,1.28,0.32,0,0.32,0.32,2.24,0,0,0,0,0.32,1.6,0,0,0,0,0.96
22Month,1.09,1.09,1.09,6.01,0,2.19,4.92,379.38,80.9,3.28,0,11.48,0.55,2.19,6.01,8.75,0,0.55,1.09,0,16.4,0,1.09,0.55,0.55,0.55,1.64,0.55,0,0,1.09,0.55
