stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,2.68,0,0
3Month,0,0.32,0.32,0.32,0.32,0,0.64,0,0,0,0,0.32,3.84,0,2.56,0.32
22Month,0,0,0,0.55,0,0.55,0,0.55,0,0,0,0,0,0,0,0
