stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,1.07,1.07,0,1.07,6.42,0,1.07,0,0,1.07,6.42,0
21Day,2.68,4.02,1.34,1.34,0,16.06,4.02,0,1.34,1.34,0,9.37,2.68
