stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0,0,0,1.07,2.14,0,1.07,0,2.14,0,0
21Day,0,0,12.05,1.34,0,0,0,0,0,1.34,2.68,0,4.02,14.72,1.34,0,0,0,0,1.34,1.34,0,1.34,2.68,0,1.34,1.34
3Month,0.32,0.32,11.2,0,0.32,1.6,0.32,0,4.48,0.32,0.32,2.88,0.96,3.52,0.96,0.96,0.32,0.32,0.32,0,0,0,0,0.32,0,0,2.88
22Month,0,0.55,0,0,0,0.55,0.55,0.55,7.65,0,0,2.73,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,1.09
