stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,12.26,0,24.52,0,0,0,0,0,8.17,0,0,0,0,0,0,0,16.35,24.52,0,0,0,44.95,61.3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,8.56,0,11.77,1.07,0,0,0,0,0,0,0,0,5.35,0,1.07,31.02,0,20.33,0,2.14,0,175.45,64.19,1.07,0,0,4.28,0,0,4.28,1.07,0,0,0,0
21Day,4.02,5.35,0,72.28,0,6.69,0,2.68,0,0,0,0,0,42.83,0,2.68,49.53,12.05,10.71,0,12.05,0,57.56,4.02,0,1.34,0,2.68,4.02,0,0,0,4.02,1.34,0,16.06
3Month,0,4.48,0,26.56,0.64,0,0,0.32,1.6,7.68,0,5.76,0.96,5.12,1.92,1.6,2.56,3.2,2.24,0.64,2.88,0.64,0.96,0,3.52,0.96,0,0.32,0.64,0.64,0,0,0,0,3.52,8
22Month,0,4.92,0.55,21.87,0,0,1.09,0,1.09,17.49,14.76,18.59,2.19,8.75,3.28,0,1.09,10.39,3.83,0,1.64,0,1.64,0,1.64,0.55,0.55,0,0,1.64,0.55,0,0,0,1.09,7.65
