stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,12.26,0,0,24.52,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0
22Month,1.09,2.73,0.55,2.19,1.64,37.17,2.73,3.83,1.09,1.09,1.09,3.28,2.19,0,0,0.55,0.55,256.93,0,2.73,1.09
