stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,1.07,0,2.14,2.14,0,4.28,3.21,1.07,7.49,0,0,1.07,1.07,0,0
21Day,0,0,0,4.02,1.34,0,0,0,0,0,0,0,1.34,1.34,0,2.68,0,2.68,0,5.35,1.34,0,2.68,0,0,0
3Month,0,0.32,0.32,3.52,0,0.64,0.32,54.39,0.32,1.92,0.32,1.6,0.64,0.64,0.32,0.32,0.32,0,0.32,0,1.28,0.32,0,0,0.32,0.32
22Month,0,0,0,0.55,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
