stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0.32,10.24,4.16,0.32,0.96,0.64,22.72,0.64,0.32,1.6,1.28,1.28,0.32,2.88,0.64,0.32,0.64,0.96,0,1.28,0.32,0,0.64,86.07,0.32,0,0.32,8.32,0.32
22Month,0,0,0,9.84,0.55,0.55,1.09,1.09,13.12,0,0.55,1.64,0,0.55,2.73,1.64,0,0,0,0,0,0,0,0.55,0,37.17,0,0,0,0,2.19
