stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,24.52,0,8.17,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,2.14,0,0,0,0
21Day,1.34,0,1.34,2.68,0,0,0,1.34,0,1.34,0,1.34,1.34
3Month,0,0,0,0.96,0,0.32,0.32,0,0,0,0,0,0
22Month,0,0,0,6.56,3.83,0,0,0.55,0.55,0,0,0,0
