stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,32.09,1.07,1.07,0,0,0,0,0,0,54.56,0,5.35,0,1.07,2.14,0,4.28,4.28,0,0,1.07,1.07,0,0,0,0
21Day,1.34,0,0,50.86,1.34,0,0,0,4.02,0,0,2.68,12.05,1.34,2.68,0,0,0,0,2.68,0,0,0,0,0,2.68,0,0,0
3Month,0,0,1.28,9.28,0,0,1.28,0.32,21.76,0.32,1.92,2.24,6.08,0,1.6,0.32,0,0,1.28,0.32,0,0.32,0.32,0,0.32,22.72,0.32,53.11,0.96
22Month,0,1.64,2.19,5.47,0,0,2.19,0.55,115.89,1.64,4.92,0.55,3.28,0,0,0,1.64,0,0,0,1.09,0.55,0,0,0,4.37,0,0,0.55
