stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,36.14,0,0,0,0,0,0,2.68,0,1.34,2.68,5.35,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,4.02
3Month,0.32,0,0.32,24.32,0.32,0.32,0,0,4.48,0,0.96,1.6,0.32,0.96,4.48,0.64,0.32,0,0.32,0,0,0,4.48,0.32,0,0,0.32,1.28,9.28
22Month,0,2.19,0,24.6,0,0.55,3.28,0.55,24.6,1.09,0,1.09,0.55,2.19,5.47,1.64,0.55,0.55,0,0,0,0.55,6.56,1.09,0.55,0,0,0,38.27
