stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,2.68,0
3Month,0,0,0,0,0,0.64,0,0,0,0,0,0,0
22Month,0.55,0.55,0,0.55,0.55,22.41,1.09,0.55,0.55,0,0,0,0.55
