stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,4.09
72hpf,1.07,0,0,0,0,0,0,4.28,0
22Month,0,0.55,0.55,1.64,0.55,0.55,0.55,0,0
