stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,5.35,1.07,0,1.07,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,44.17,64.25,0,0,0,0,0,0,0,0,12.05,0,4.02,2.68,1.34,0,0,1.34,0,175.35,1.34,0,0,0,2.68,0,0,0,0,0,0,0,4.02
3Month,0,2.24,0.64,637.34,0,1.28,0,11.52,3.2,0,90.87,11.52,0.32,287.63,13.12,52.15,3.52,6.4,2.56,0,14.08,1.92,0.32,0,2.56,0.32,0,0.32,1.6,7.68,0,0,0,5.12,4.48,12.16
22Month,1.09,57.95,4.92,5675.37,0,21.87,3.28,13.12,233.42,21.32,457,9.84,13.12,524.24,12.03,22.96,313.23,119.72,1.09,12.03,18.59,1.64,23.51,0.55,15.31,7.11,1.64,0,51.39,0.55,3.28,4.37,0,3.28,0.55,96.21
