stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,73.56,28.6,0,192.06,0,0,0,53.12,0,0,0,0,16.35,380.04,73.56,220.67,0,0,102.16,1328.08,8.17,0,85.81,0,0,0,20.43
72hpf,0,0,0,7.49,1.07,0,0,0,0,0,0,0,1.07,82.37,0,3.21,1.07,0,16.05,4.28,0,0,4.28,5.35,1.07,1.07,1.07
21Day,0,0,0,4.02,0,0,0,0,0,0,0,0,0,4.02,0,1.34,0,0,0,0,1.34,0,0,2.68,0,0,0
3Month,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,0,0
22Month,0,3.83,1.09,4.92,0,3.83,1.64,0,27.33,1.09,1.09,1.64,0,1.64,0.55,4.92,1.09,1.64,0,0,0,226.32,0,0,0,0,0
