stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,1.07,20.33,0,0,0,1.07,0,0,0,0,0,0,6.42,0,5.35,0,1.07,0,0,385.12,9.63,1.07,9.63,0,6.42,0,0,7.49,0,0,1.07,0,0,0
21Day,6.69,0,0,9.37,36.14,0,1.34,0,0,0,2.68,0,1.34,1.34,1.34,16.06,0,10.71,0,0,0,0,252.98,0,4.02,8.03,0,6.69,17.4,0,6.69,1.34,4.02,1.34,0,0,0
3Month,0.32,0.32,0,7.36,0,1.28,0.32,0.32,2.24,0,24.64,3.2,0.64,3.84,1.28,4.16,2.88,10.56,0.96,0,0.96,0.64,0.96,0,1.28,0.96,0,0,1.28,37.43,0.96,0.32,0,0.32,1.92,14.4,3.52
22Month,0,2.73,1.64,9.29,0,0,0,1.09,9.29,1.64,113.16,4.37,1.64,12.03,0.55,0.55,7.11,21.32,0,2.19,2.19,0,4.92,0,8.75,3.83,2.19,0,0,8.2,6.01,1.64,0,0,0,0,4.37
