stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,32.69,159.37,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,0,4.28,3.21,0,0,0,0,0,0,0,1.07,3.21,1.07,2.14,0,0,0,238.56,38.51,0,2.14,5.35,1.07,0,3.21,1.07,0,1.07,0,0,0
21Day,1.34,0,0,6.69,8.03,4.02,0,0,0,0,0,1.34,1.34,1.34,6.69,1.34,8.03,0,4.02,0,124.48,18.74,0,0,1.34,2.68,1.34,1.34,2.68,4.02,1.34,0,0,1.34
3Month,0,0,0,9.92,1.92,0,0,1.28,0,2.88,0.32,0,0.32,0.96,1.92,0.96,0.64,0.32,13.44,0.32,4.48,0.64,0,0,0,0.32,8.64,0,0,0,0,0.32,1.6,0.96
22Month,0,0.55,0.55,2.73,1.09,0,0.55,0,0.55,19.68,0,0.55,1.09,0,0,0.55,1.09,0,25.15,0,3.28,0.55,1.64,0,0,0,6.01,1.09,0,0,0,0,0,0.55
