stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0,4.28,4.28,0,1.07,0,1.07,0,0,2.14,1.07,0,0,0,0
21Day,0,0,4.02,2.68,0,0,0,0,0,0,1.34,1.34,2.68,0,0,2.68,1.34,0,0,0,0,0,4.02,2.68,0,0,0,5.35,2.68,0,6.69,2.68,0,0,0,136.53
3Month,2.88,1.28,17.6,0,0.64,0,1.92,8,0,0,10.88,41.91,0,3.2,0.64,4.8,11.2,4.16,5.12,0,0.96,2.88,0.96,0.32,1.6,0.32,0,0,1.92,0.96,80.31,1.28,0,1.28,39.03,208.93
22Month,4.92,0,11.48,0,0.55,1.09,3.28,9.29,1.64,0,35.53,75.98,3.28,1.64,0,0,21.87,4.92,0,1.09,1.64,0,1.09,0,0,1.64,6.01,0,0.55,0,35.53,7.11,0.55,0,0,401.79
