stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,0,0,0,0,0,3.21,0,2.14,0,0,1.07,0,0,0,2.14,0,0,1.07,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,0,0,0,1.34
3Month,4.16,0.32,0.64,0.64,1.92,0.64,2.24,0.32,0,0.32,1.28,0.32,0.32,0,0,0.32,0.32,0,1.28,0,0,0.64,0.32,0.96
22Month,0.55,0,0.55,1.09,1.09,0,0.55,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0.55
