stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mt_rich_cell,Neural_cell
21Day,8.03,1.34,0,1.34,2.68,1.34,1.34,0,1.34
22Month,1.09,0,1.09,0.55,0,5.47,0,0.55,0
