stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,4.09,0,0,8.17,0,0,0,0
72hpf,0,0,27.81,7.49,0,1.07,1.07,0
21Day,0,0,14.72,0,1.34,0,1.34,1.34
3Month,0.96,0.32,0,0,0,0,0,0
22Month,0,1.09,0,0,0,0,0,0
