stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,0,1.34,6.69,0,0,0,0,0,0,0,0,0,0
3Month,0.32,42.55,0,0,0.32,1.28,0.64,0,3.52,0,2.56,1.6,0.64,0.32,0,0.32,0,0,1.6,0.32,1.92
22Month,1.64,2.19,2.19,1.09,1.09,118.62,1.64,1.09,11.48,0,0.55,4.92,3.28,0,3.83,0,0.55,0.55,2.19,0,0.55
