stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,12.26,0,0,0,0,0,8.17,0,0,0,93.99,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,3.21,0,0,4.28,9.63,0,1.07,1.07,0,0
21Day,0,5.35,0,0,1.34,1.34,0,2.68,0,0,2.68,4.02,4.02,0,0,0,1.34
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0
22Month,0,0,0,2.73,3.28,0,4.37,0.55,0.55,1.09,0,0,0,0,0,0.55,0
