stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,13.91,1.07,0,0,0,0,0,0,0,0,19.26,3.21,0,0,0,0,0,11.77,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,0,0,24.09,6.69,0,4.02,0,13.39,4.02,18.74,84.33,4.02,10.71,40.16,6.69,0,0,2.68,0,8.03,6.69,0,2.68,12.05,0,0,1.34,2.68,0,0,85.67
3Month,0.64,0.96,0.64,21.12,0,1.6,0.32,1.6,74.23,39.35,170.21,7.04,24.64,11.2,37.75,3.2,0.32,0,1.6,1.28,0.32,0,0.96,0.32,4.48,0.32,7.68,0,0,3.2,35.83,108.14
22Month,0,0.55,1.09,9.29,0,2.19,0,0.55,86.92,64.51,67.24,13.67,19.13,2.19,31.16,3.28,0,1.64,0,0,0,0.55,0,0,1.09,0,1.64,0,0,0.55,0,55.76
