stage,Epithelial_cell__Brain_,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0
72hpf,0,1.07,0,2.14,2.14
21Day,0,2.68,1.34,0,1.34
