stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,1.34,6.69,0,0
3Month,0,0,0.64,0.32,1.28,0.64,0.32,0,0.32,1.6,0,0,2.24,0.32
22Month,1.09,0.55,0.55,0.55,6.56,0,0,0,0,0,0,0,0,0
