stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,2.14,0,0,0,1.07,0,0,0,6.42,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,2.68,0,5.35,0,0,0,0,8.03,0,2.68,2.68,22.76,0,1.34,0,38.82,2.68,0,0,0,0,0,0,1.34,0,0,4.02,0,0,1.34,0,1.34,0,0,0,6.69
3Month,0.96,20.48,0.32,14.4,0,1.6,1.28,3.52,179.81,0,19.52,349.38,3.84,5.12,1.92,5.12,175.97,7.04,1.28,2.24,0.96,1.28,0,0.32,0.96,0,0.64,2.88,0.32,4.16,0,0,0,0.32,25.6,1.92,19.2
22Month,0.55,31.16,1.09,3.83,0,3.28,1.09,0.55,610.61,1.09,28.97,185.32,7.65,6.01,1.64,0.55,204.45,3.83,0,0.55,0,0,0.55,1.64,0.55,1.09,0,0.55,0,0,1.09,2.19,0.55,0,2.73,0,21.87
