stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,0,4.09,85.81,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,2.14,0,0,3.21,1.07,5.35,0,0,0,10.7,10.7,0,3.21,0,1.07,0,0,0,0
21Day,1.34,1.34,0,4.02,0,0,0,0,0,0,0,0,1.34,0,10.71,0,0,0,2.68,6.69,0,2.68,0,0,0,0,0,0
3Month,0,0,0,4.48,0.96,0.32,0,1.28,0.32,0.32,0.96,0.32,0.32,0.32,0.32,0,0.32,0.32,0,0,0,0,1.6,0,0,0.32,3.2,0.32
22Month,0,0,0.55,2.19,0,0,1.64,7.65,0,0,2.19,0,0,0,1.09,0.55,0,0,0,0,0.55,0,0,0.55,0,0,0,0
