stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
72hpf,4.28,1.07,0,0,0,0,0,0,0,0,23.54,1.07,0,0,0,0,0,0,0
21Day,2.68,4.02,2.68,0,0,0,2.68,0,1.34,2.68,136.53,0,1.34,2.68,4.02,5.35,1.34,1.34,0
3Month,0,0,0,0,0,0,0,0.32,0,0.32,0.64,0,0,0,0,0,0,0,0.32
22Month,0,0.55,0,0.55,0.55,3.28,0,0,0,0.55,2.19,0,0,0,0,0,0,0,0
