stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,6.42,1.07,2.14,0,0,0,13.91,1.07,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,4.02,1.34,1.34,0,0,0,0,0,0,0,0,0,0,4.02,0,1.34,0,1.34,0,9.37,0,0,0,0,0,0,13.39,0,0,0,0,0,0
3Month,0,0.96,1.6,9.6,0.32,0,1.6,0.32,1.92,1.92,0.32,0,18.24,5.44,4.8,1.6,3.52,3.2,4.16,1.28,1.28,0.96,0.96,0.32,1.28,0.32,0,0,5.44,480.24,0.32,0.32,0.32,4.48,346.83,3.2
22Month,0,0,0,1.64,0,0,0,0,0.55,1.64,0,0,9.84,0,2.73,0,0,2.19,0.55,0,0.55,0,0,0,0,0,31.16,0,0,77.08,0.55,0,0,0,1.64,0.55
