stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,14.98,0,0,0,0,0,0,0,0,0,0,0,0,5.35,98.42,1.07,4.28,0,1.07,0,1.07,10.7,8.56,0,0,5.35,3.21,0,4.28,0,0,0,0
21Day,5.35,0,1.34,66.93,2.68,0,1.34,0,0,0,1.34,0,0,0,0,2.68,1.34,30.79,6.69,10.71,0,0,8.03,0,1.34,4.02,0,0,12.05,0,0,1.34,0,0,0,0
3Month,0,3.84,48.31,552.87,0,4.16,0.32,0,110.06,8.32,0,0,69.43,14.4,1.6,475.44,14.4,69.43,52.47,27.52,8.32,0.32,15.68,5.44,3.84,0,6.72,1.28,0.64,15.36,33.91,0.96,0.64,3.52,5.44,4.16
22Month,0,21.32,32.8,183.13,0,2.19,0.55,1.64,83.09,9.29,18.59,0.55,286.99,1.09,1.09,493.63,6.01,26.79,14.21,156.34,6.01,3.28,16.95,1.09,0,1.09,8.75,1.09,1.09,2.19,33.35,3.83,1.09,0.55,0,1.64
