stage,Epithelial_cell,Epithelial_cell__Brain_,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,4.09,4.09,0
72hpf,0,1.07,0,13.91,4.28,1.07
21Day,1.34,1.34,2.68,1.34,0,1.34
