stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,8.17,16.35,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,0,0,0,0,0,1.07,3.21,0,3.21,0,0,0,3.21,3.21,2.14,0,4.28,0,1.07,1.07,0,0,0
21Day,0,0,0,12.05,0,0,0,0,0,0,1.34,4.02,2.68,0,1.34,0,5.35,1.34,0,0,1.34,0,0,0,2.68,0,0
3Month,0,0.32,0.32,2.56,0,2.24,2.56,0,1.28,0.64,0.96,1.6,0.64,0.64,0,1.28,0,0,0.32,0,0,0.32,0.32,0,0,0.64,0.32
22Month,0,0,0,1.64,0.55,1.09,4.92,0.55,1.09,0,0,0.55,1.09,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0
